Species,Long,Lat,Source
Acinonyx jubatus,27.06822,-25.30468,gbif
Acinonyx jubatus,27.02103,-25.29487,gbif
Acinonyx jubatus,27.0809,-25.30615,gbif
Acinonyx jubatus,27.06968,-25.30025,gbif
Acinonyx jubatus,27.08012,-25.30627,gbif
Acinonyx jubatus,27.0277,-25.29233,gbif
Acinonyx jubatus,27.05852,-25.3077,gbif
Acinonyx jubatus,27.08232,-25.30418,gbif
Acinonyx jubatus,27.07832,-25.30568,gbif
Acinonyx jubatus,27.066,-25.26428,gbif
Acinonyx jubatus,27.0414,-25.30422,gbif
Acinonyx jubatus,27.02105,-25.29485,gbif
Acinonyx jubatus,27.05875,-25.30615,gbif
Acinonyx jubatus,27.05918,-25.30463,gbif
Acinonyx jubatus,27.07563,-25.30842,gbif
Acinonyx jubatus,27.04787,-25.30295,gbif
Acinonyx jubatus,27.06215,-25.3138,gbif
Acinonyx jubatus,27.07003,-25.30045,gbif
Acinonyx jubatus,27.05427,-25.30775,gbif
Acinonyx jubatus,27.07137,-25.30225,gbif
Acinonyx jubatus,27.05395,-25.30808,gbif
Acinonyx jubatus,27.05395,-25.30807,gbif
Acinonyx jubatus,27.054,-25.30808,gbif
Acinonyx jubatus,27.02377,-25.29377,gbif
Acinonyx jubatus,27.05737,-25.30967,gbif
Acinonyx jubatus,27.08238,-25.30438,gbif
Acinonyx jubatus,27.0579,-25.30908,gbif
Acinonyx jubatus,27.07835,-25.30567,gbif
Acinonyx jubatus,27.07257,-25.30218,gbif
Acinonyx jubatus,27.0554,-25.30398,gbif
Acinonyx jubatus,27.0209,-25.29597,gbif
Acinonyx jubatus,27.05777,-25.30967,gbif
Acinonyx jubatus,27.0548,-25.30842,gbif
Acinonyx jubatus,27.06878,-25.30307,gbif
Acinonyx jubatus,27.0822,-25.30425,gbif
Acinonyx jubatus,27.07793,-25.30237,gbif
Acinonyx jubatus,27.04277,-25.30387,gbif
Acinonyx jubatus,27.07618,-25.29592,gbif
Acinonyx jubatus,27.05402,-25.30817,gbif
Acinonyx jubatus,27.07113,-25.30247,gbif
Acinonyx jubatus,27.054,-25.3081,gbif
Acinonyx jubatus,27.072,-25.3005,gbif
Acinonyx jubatus,27.05422,-25.30777,gbif
Acinonyx jubatus,27.0521,-25.307,gbif
Acinonyx jubatus,27.0552,-25.30842,gbif
Acinonyx jubatus,27.06783,-25.302,gbif
Acinonyx jubatus,27.05517,-25.30842,gbif
Acinonyx jubatus,27.05388,-25.3078,gbif
Acinonyx jubatus,27.06975,-25.3005,gbif
Acinonyx jubatus,27.08052,-25.30627,gbif
Acinonyx jubatus,27.0457,-25.30538,gbif
Acinonyx jubatus,27.07257,-25.30217,gbif
Acinonyx jubatus,27.05392,-25.30785,gbif
Acinonyx jubatus,27.06128,-25.31255,gbif
Acinonyx jubatus,27.0743,-25.29715,gbif
Acinonyx jubatus,27.05425,-25.30773,gbif
Acinonyx jubatus,27.05388,-25.30807,gbif
Acinonyx jubatus,27.0766,-25.29975,gbif
Acinonyx jubatus,27.07202,-25.30048,gbif
Acinonyx jubatus,27.0277,-25.29235,gbif
Acinonyx jubatus,27.05768,-25.30972,gbif
Acinonyx jubatus,27.05758,-25.3095,gbif
Acinonyx jubatus,27.06978,-25.3005,gbif
Acinonyx jubatus,27.08223,-25.30428,gbif
Acinonyx jubatus,27.06058,-25.30313,gbif
Acinonyx jubatus,27.05397,-25.30807,gbif
Acinonyx jubatus,27.05818,-25.3179,gbif
Acinonyx jubatus,27.07613,-25.30058,gbif
Acinonyx jubatus,27.05585,-25.30375,gbif
Acinonyx jubatus,27.05777,-25.30968,gbif
Acinonyx jubatus,27.05758,-25.30947,gbif
Acinonyx jubatus,27.0607,-25.30435,gbif
Acinonyx jubatus,27.07143,-25.3027,gbif
Acinonyx jubatus,27.06983,-25.30047,gbif
